region,biden_win,pop, investment_b ,investment_pc,poverty_lvl,area_sqkm,road_miles, gdp_m ,gdp_pc,gdp_rank,ipc_rank,gdp_pc_rank,poverty_rank
ALABAMA,0," 5,108,468 ", 3.0000 , 587.26 , 16.20 ," 50,645 "," 201,752 "," 281,569 "," 55,118 ",27,26,48,45
ALASKA,0," 733,406 ", 3.7000 ," 5,044.95 ", 11.00 ," 570,641 "," 31,108 "," 65,699 "," 89,581 ",49,1,7,18
ARIZONA,1," 7,431,344 ", 3.5000 , 470.98 , 12.50 ," 113,594 "," 131,356 "," 475,654 "," 64,006 ",18,44,36,31
ARKANSAS,0," 3,067,732 ", 2.8000 , 912.73 , 16.80 ," 52,035 "," 204,051 "," 165,989 "," 54,108 ",34,13,50,47
CALIFORNIA,1," 38,965,193 ", 18.4000 , 472.22 , 12.20 ," 155,779 "," 386,604 "," 3,641,643 "," 93,459 ",1,43,5,28
COLORADO,1," 5,877,610 ", 3.2000 , 544.44 , 9.40 ," 103,642 "," 183,498 "," 491,289 "," 83,587 ",15,29,11,4
CONNECTICUT,1," 3,617,176 ", 2.5000 , 691.15 , 9.80 ," 4,842 "," 45,552 "," 319,345 "," 88,286 ",23,20,8,8
DELAWARE,1," 1,031,890 ", 2.5000 ," 2,422.74 ", 9.40 ," 1,949 "," 13,613 "," 90,208 "," 87,420 ",43,4,9,3
DISTRICT OF COLUMBIA,1," 678,972 ", 1.1000 ," 1,620.10 ", 13.30 , 61 ," 3,541 "," 165,061 "," 243,104 ",35,6,1,37
FLORIDA,0," 22,610,726 ", 8.2000 , 362.66 , 12.70 ," 53,625 "," 267,793 "," 1,439,065 "," 63,645 ",4,51,38,34
GEORGIA,1," 11,029,227 ", 5.0000 , 453.34 , 12.70 ," 57,513 "," 257,077 "," 767,378 "," 69,577 ",8,47,29,33
HAWAII,1," 1,435,138 ", 1.0000 , 696.80 , 10.20 ," 6,423 "," 9,523 "," 101,083 "," 70,434 ",41,19,24,10
IDAHO,0," 1,964,726 ", 1.2000 , 610.77 , 10.70 ," 82,643 "," 98,132 "," 110,871 "," 56,431 ",39,25,46,14
ILLINOIS,1," 12,549,689 ", 8.4000 , 669.34 , 11.90 ," 55,519 "," 292,789 "," 1,025,667 "," 81,728 ",5,21,13,24
INDIANA,0," 6,862,199 ", 3.4000 , 495.47 , 12.60 ," 35,826 "," 197,997 "," 470,324 "," 68,538 ",19,41,30,32
IOWA,0," 3,207,004 ", 2.4000 , 748.36 , 11.00 ," 55,857 "," 235,460 "," 238,342 "," 74,319 ",31,17,22,19
KANSAS,0," 2,940,546 ", 1.5000 , 510.11 , 12.00 ," 81,759 "," 286,642 "," 209,326 "," 71,186 ",33,40,23,25
KENTUCKY,0," 4,526,154 ", 3.9000 , 861.66 , 16.50 ," 39,486 "," 163,988 "," 258,981 "," 57,219 ",28,14,45,46
LOUISIANA,0," 4,573,749 ", 4.3000 , 940.15 , 18.60 ," 43,204 "," 128,532 "," 291,952 "," 63,832 ",26,12,37,50
MAINE,1," 1,395,722 ", 1.1000 , 788.12 , 10.80 ," 30,843 "," 46,750 "," 85,801 "," 61,474 ",44,15,41,17
MARYLAND,1," 6,180,253 ", 2.7000 , 436.88 , 9.60 ," 9,707 "," 68,889 "," 480,113 "," 77,685 ",17,48,17,6
MASSACHUSETTS,1," 7,001,399 ", 3.6000 , 514.18 , 10.40 ," 7,800 "," 76,200 "," 691,461 "," 98,760 ",12,38,3,12
MICHIGAN,1," 10,037,261 ", 5.2000 , 518.07 , 13.40 ," 56,539 "," 255,924 "," 622,563 "," 62,025 ",14,35,40,40
MINNESOTA,1," 5,737,915 ", 2.7000 , 470.55 , 9.60 ," 79,627 "," 283,828 "," 448,032 "," 78,083 ",20,45,16,5
MISSISSIPPI,0," 2,939,690 ", 2.3000 , 782.40 , 19.10 ," 46,923 "," 156,211 "," 139,976 "," 47,616 ",37,16,51,51
MISSOURI,0," 6,196,156 ", 3.8000 , 613.28 , 13.20 ," 68,742 "," 268,201 "," 396,890 "," 64,054 ",21,24,35,36
MONTANA,0," 1,132,812 ", 3.3000 ," 2,913.10 ", 12.10 ," 145,546 "," 151,209 "," 67,072 "," 59,208 ",48,3,44,26
NEBRASKA,1," 1,978,379 ", 1.3000 , 657.10 , 11.20 ," 76,824 "," 190,398 "," 164,934 "," 83,368 ",36,22,12,20
NEVADA,1," 3,194,176 ", 1.7000 , 532.22 , 12.50 ," 109,781 "," 71,315 "," 222,939 "," 69,795 ",32,32,28,30
NEW HAMPSHIRE,1," 1,402,054 ", 0.7518 , 536.21 , 7.20 ," 8,953 "," 33,002 "," 105,025 "," 74,908 ",40,31,20,1
NEW JERSEY,1," 9,290,841 ", 5.1000 , 548.93 , 9.70 ," 7,354 "," 84,281 "," 754,948 "," 81,257 ",9,28,14,7
NEW MEXICO,1," 2,114,371 ", 2.6000 ," 1,229.68 ", 17.60 ," 121,298 "," 142,940 "," 125,541 "," 59,375 ",38,9,43,48
NEW YORK,1," 19,571,216 ", 10.1000 , 516.06 , 14.30 ," 47,126 "," 242,769 "," 2,048,403 "," 104,664 ",3,37,2,43
NORTH CAROLINA,0," 10,835,491 ", 4.5000 , 415.30 , 12.80 ," 48,618 "," 221,456 "," 715,968 "," 66,076 ",11,50,34,35
NORTH DAKOTA,0," 783,926 ", 1.8000 ," 2,296.14 ", 11.50 ," 69,001 "," 175,960 "," 72,651 "," 92,676 ",46,5,6,21
OHIO,0," 11,785,935 ", 6.6000 , 559.99 , 13.40 ," 40,861 "," 261,653 "," 825,990 "," 70,083 ",7,27,27,39
OKLAHOMA,0," 4,053,824 ", 2.9000 , 715.37 , 15.70 ," 68,595 "," 235,004 "," 242,739 "," 59,879 ",30,18,42,44
OREGON,1," 4,233,358 ", 2.3000 , 543.30 , 12.10 ," 95,988 "," 122,395 "," 297,309 "," 70,230 ",25,30,26,27
PENNSYLVANIA,1," 12,961,683 ", 8.1000 , 624.92 , 11.80 ," 44,743 "," 253,838 "," 911,813 "," 70,347 ",6,23,25,23
RHODE ISLAND,1," 1,095,962 ", 1.1000 ," 1,003.68 ", 10.80 ," 1,034 "," 13,520 "," 72,771 "," 66,399 ",45,11,33,16
SOUTH CAROLINA,0," 5,373,555 ", 2.3000 , 428.02 , 14.00 ," 30,061 "," 139,690 "," 297,546 "," 55,372 ",24,49,47,42
SOUTH DAKOTA,0," 919,318 ", 1.3000 ," 1,414.09 ", 12.50 ," 75,811 "," 166,814 "," 68,782 "," 74,819 ",47,7,21,29
TENNESSEE,0," 7,126,489 ", 3.7000 , 519.19 , 13.30 ," 41,235 "," 194,755 "," 485,657 "," 68,148 ",16,34,31,38
TEXAS,0," 30,503,301 ", 14.2000 , 465.52 , 14.00 ," 261,232 "," 654,923 "," 2,402,137 "," 78,750 ",2,46,15,41
UTAH,0," 3,417,734 ", 1.8000 , 526.66 , 8.20 ," 82,170 "," 93,914 "," 256,370 "," 75,012 ",29,33,19,2
VERMONT,1," 647,464 ", 0.8521 ," 1,316.06 ", 10.40 ," 9,217 "," 29,641 "," 40,831 "," 63,063 ",51,8,39,11
VIRGINIA,1," 8,715,698 ", 4.5000 , 516.31 , 10.60 ," 39,490 "," 160,097 "," 663,106 "," 76,082 ",13,36,18,13
WASHINGTON,1," 7,812,880 ", 4.0000 , 511.98 , 10.00 ," 66,456 "," 174,731 "," 738,101 "," 94,472 ",10,39,4,9
WEST VIRGINIA,0," 1,770,071 ", 2.0000 ," 1,129.90 ", 17.90 ," 24,038 "," 79,144 "," 97,417 "," 55,036 ",42,10,49,49
WISCONSIN,1," 5,910,955 ", 2.8000 , 473.70 , 10.70 ," 54,158 "," 237,124 "," 396,209 "," 67,030 ",22,42,32,15
WYOMING,0," 584,057 ", 2.3000 ," 3,937.97 ", 11.80 ," 97,093 "," 58,385 "," 49,081 "," 84,035 ",50,2,10,22